review_id,Usuario,business_id,Estrellas_Negocio,Review,anio,mes,dia,Negocio,Direccion_Negocio,Ciudad,Estado,Rating_Usuario,Numero_reviews,attributes,Clasificacion Negocio
wX8sdNxTaM5DnNAKfXHt2A,uSs86fdMuGIXua7VxXaclw,BXUqeFDqvTK2uL6sQd5YnQ,2.0,So we ordered thru door dash last night and when we started eating we noticed that EACH sandwich only had TWO pieces of coleslaw! (Talk about being stingy) The sauce was not even half way full. Why are you guys being so stingy?,2021,2,14,Crazy D’s Hot Chicken,101 University Ter,Reno,Florida,3.5,37,"{'RestaurantsTakeOut': 'True', 'RestaurantsDelivery': 'True', 'BusinessParking': ""{u'valet': False, u'garage': False, u'street': False, u'lot': True, u'validated': False}"", 'RestaurantsPriceRange2': '2'}",Restaurants
O_c2dg-yBJ5sSpM22GMK4g,xKxms3jD2-6HomwWFG9a2g,BXUqeFDqvTK2uL6sQd5YnQ,1.0,"We went at this location and unfortunately we were waiting for about 20 minutes and nobody is getting our order. They, apparently are backlogged and are cancelling doordash orders. Knowing that they launched a promo for National Fried Chicken Day, there was only 2 staff and one is cooking and the other one I don't know what he's doing in the other room. The one taking orders looks like new and doesn't know what he's doing. So we left and will try to go to the other location to try our luck.",2021,7,7,Crazy D’s Hot Chicken,101 University Ter,Reno,Florida,3.5,37,"{'RestaurantsTakeOut': 'True', 'RestaurantsDelivery': 'True', 'BusinessParking': ""{u'valet': False, u'garage': False, u'street': False, u'lot': True, u'validated': False}"", 'RestaurantsPriceRange2': '2'}",Restaurants
2z7mMiC2krwaRJDf13xBOQ,4g9m61vli-09v0k0dMORJg,BXUqeFDqvTK2uL6sQd5YnQ,1.0,If you order thru door dash and it's this place please just cancel it and save yourself some money. Tonight I ordered from this location amd the chicken was hard and burnt!!!! I paid $3 for sauces that were not even filled up half way! Lazy people and the owners will make excuses. F this place,2021,3,7,Crazy D’s Hot Chicken,101 University Ter,Reno,Florida,3.5,37,"{'RestaurantsTakeOut': 'True', 'RestaurantsDelivery': 'True', 'BusinessParking': ""{u'valet': False, u'garage': False, u'street': False, u'lot': True, u'validated': False}"", 'RestaurantsPriceRange2': '2'}",Restaurants
J-BzNuNuUFDj87IN0Sf-ew,ILqHolTHi_YjcFZbFtetLQ,BXUqeFDqvTK2uL6sQd5YnQ,1.0,"The staff was too busy free styling to make our order. The order was cold and when I went back in a guy who did not work there was at the counter screwing around with the ""employees."" I was not satisfied at all with their service and will not be coming back...Save the 20 + mins, Canes is up the street",2021,9,26,Crazy D’s Hot Chicken,101 University Ter,Reno,Florida,3.5,37,"{'RestaurantsTakeOut': 'True', 'RestaurantsDelivery': 'True', 'BusinessParking': ""{u'valet': False, u'garage': False, u'street': False, u'lot': True, u'validated': False}"", 'RestaurantsPriceRange2': '2'}",Restaurants
ql3SUVHoMG_MaJpnHoEdlA,Xzs7mDopC3urhHL8pmOEgA,BXUqeFDqvTK2uL6sQd5YnQ,5.0,"This shiz bussin bro, got damn had me on the couch asleep. Ate my food before I could take a picture but here's the box. If you like spice this shiz is spicy bro. Be warned",2021,9,14,Crazy D’s Hot Chicken,101 University Ter,Reno,Florida,3.5,37,"{'RestaurantsTakeOut': 'True', 'RestaurantsDelivery': 'True', 'BusinessParking': ""{u'valet': False, u'garage': False, u'street': False, u'lot': True, u'validated': False}"", 'RestaurantsPriceRange2': '2'}",Restaurants
IjtosQSL0B1CyoJD4d_VlA,SC6KHoPqBbdvspScmqG99Q,BXUqeFDqvTK2uL6sQd5YnQ,3.0,"The sandwiches are pretty good but the fries seem to be hit or miss. Of the few times I have gone, the wait was over a 30 minutes just about every time which feels a little bit long for fast food. Much easier to call ahead and pick up. Not bad though.",2022,1,12,Crazy D’s Hot Chicken,101 University Ter,Reno,Florida,3.5,37,"{'RestaurantsTakeOut': 'True', 'RestaurantsDelivery': 'True', 'BusinessParking': ""{u'valet': False, u'garage': False, u'street': False, u'lot': True, u'validated': False}"", 'RestaurantsPriceRange2': '2'}",Restaurants
fCWQvtmSJ2SonnXOGRERoA,5pgddOwVDAI_UCjnUb9G2g,BXUqeFDqvTK2uL6sQd5YnQ,5.0,"Checked those place out after reading an online review.  Chicken was delicious and had just the right amount of spice- had medium.  Great customer service and restaurant was nice and clean.  We went around lunch time and food was prepared perfectly and timely. 
Highly recommend Crazy D's.",2021,1,4,Crazy D’s Hot Chicken,101 University Ter,Reno,Florida,3.5,37,"{'RestaurantsTakeOut': 'True', 'RestaurantsDelivery': 'True', 'BusinessParking': ""{u'valet': False, u'garage': False, u'street': False, u'lot': True, u'validated': False}"", 'RestaurantsPriceRange2': '2'}",Restaurants
hcw-RWH__nODhaI7WGTfkw,US3RG40I2SbGjW8SyZxCCw,BXUqeFDqvTK2uL6sQd5YnQ,5.0,Delicious and fresh chicken. Huge juicy tenders and sliders.  Great service from Sidney.,2020,9,21,Crazy D’s Hot Chicken,101 University Ter,Reno,Florida,3.5,37,"{'RestaurantsTakeOut': 'True', 'RestaurantsDelivery': 'True', 'BusinessParking': ""{u'valet': False, u'garage': False, u'street': False, u'lot': True, u'validated': False}"", 'RestaurantsPriceRange2': '2'}",Restaurants
rFHPoJAld6CBIUXuPKs0XQ,XE0TwSzSbAYekZnIJF84fg,BXUqeFDqvTK2uL6sQd5YnQ,1.0,"I don't usually leave crap reviews, but this was a bummer. 
Tried stopping in on foot at the University Ter location, owner apparently told them to close but online orders were (apparently) still available, so we placed one. When we tried to pick up, we were told that the police would be called if we didn't leave, despite showing an order number and everything. 

Luckily GrubHub has our back and is refunding the order with a promo code, so no complaints there.",2020,9,28,Crazy D’s Hot Chicken,101 University Ter,Reno,Florida,3.5,37,"{'RestaurantsTakeOut': 'True', 'RestaurantsDelivery': 'True', 'BusinessParking': ""{u'valet': False, u'garage': False, u'street': False, u'lot': True, u'validated': False}"", 'RestaurantsPriceRange2': '2'}",Restaurants
Hr_XkziQlBngg5sZ_BZ5oA,SVnSstX6u2DY40CoRShUDg,BXUqeFDqvTK2uL6sQd5YnQ,2.0,"This location has never impressed me. The staff do a great job and the food is ok. However, the restaurant is ridiculously understaffed and the orders consistently take more than 30 minutes to fulfil. In my opinion, there is no excuse for that. If you want to wait an hour and a half for alright food, this is the place for you. If you are anything like me and expect the food to be prepared in a reasonable amount of time, then stay clear of the Crazy D's on university terrace. 

This Crazy D's is a huge disappointment. I have been to the restaurant numerous times and only once has my food been prepared in 20-30 minutes, which is still excessive. I would recommend Cane's or Chick-Fil-A before Crazy D's. Their quality may not be as high but at least you will get your food before the day passes. It's really a shame because the food is good, but I could not look past this.",2021,12,18,Crazy D’s Hot Chicken,101 University Ter,Reno,Florida,3.5,37,"{'RestaurantsTakeOut': 'True', 'RestaurantsDelivery': 'True', 'BusinessParking': ""{u'valet': False, u'garage': False, u'street': False, u'lot': True, u'validated': False}"", 'RestaurantsPriceRange2': '2'}",Restaurants
