review_id,Usuario,business_id,Estrellas_Negocio,Review,anio,mes,dia,Negocio,Direccion_Negocio,Ciudad,Estado,Rating_Usuario,Numero_reviews,attributes,Clasificacion Negocio
hcw-RWH__nODhaI7WGTfkw,US3RG40I2SbGjW8SyZxCCw,BXUqeFDqvTK2uL6sQd5YnQ,5.0,Delicious and fresh chicken. Huge juicy tenders and sliders.  Great service from Sidney.,2020-01-01,9,21,Crazy D’s Hot Chicken,101 University Ter,Reno,Florida,3.5,37,"{'RestaurantsTakeOut': 'True', 'RestaurantsDelivery': 'True', 'BusinessParking': ""{u'valet': False, u'garage': False, u'street': False, u'lot': True, u'validated': False}"", 'RestaurantsPriceRange2': '2'}",Restaurants
rFHPoJAld6CBIUXuPKs0XQ,XE0TwSzSbAYekZnIJF84fg,BXUqeFDqvTK2uL6sQd5YnQ,1.0,"I don't usually leave crap reviews, but this was a bummer. 
Tried stopping in on foot at the University Ter location, owner apparently told them to close but online orders were (apparently) still available, so we placed one. When we tried to pick up, we were told that the police would be called if we didn't leave, despite showing an order number and everything. 

Luckily GrubHub has our back and is refunding the order with a promo code, so no complaints there.",2020-01-01,9,28,Crazy D’s Hot Chicken,101 University Ter,Reno,Florida,3.5,37,"{'RestaurantsTakeOut': 'True', 'RestaurantsDelivery': 'True', 'BusinessParking': ""{u'valet': False, u'garage': False, u'street': False, u'lot': True, u'validated': False}"", 'RestaurantsPriceRange2': '2'}",Restaurants
BV9c6DARQmZHrgahgNBH2g,nIGXXvvG8Gw3TFt5CE1rSg,BXUqeFDqvTK2uL6sQd5YnQ,5.0,"Great quality chicken meat, the young man working there today was so polite and helpful, the food was very tasty and it's an overall different experience from any other food you'll find in Reno. If you like Nashville hot chicken you'll enjoy this place, it's not deep fried but definitely spicy & tasty",2020-01-01,11,28,Crazy D’s Hot Chicken,101 University Ter,Reno,Florida,3.5,37,"{'RestaurantsTakeOut': 'True', 'RestaurantsDelivery': 'True', 'BusinessParking': ""{u'valet': False, u'garage': False, u'street': False, u'lot': True, u'validated': False}"", 'RestaurantsPriceRange2': '2'}",Restaurants
NMHZuyOllvRZzVQXSiQCwg,jigIXcrAt3sj_gYgRC0WZg,BXUqeFDqvTK2uL6sQd5YnQ,5.0,"I love Crazy D's but the other location was so far! I'm glad they opened one near campus. I think it is adorable how they have bunch of chickens on their counter wall. As for the food itself, it is as good as ever.

I always go for the hot chicken level but I felt a little ambitious today so I went for crazy. It was extremely hot but it tasted so good. I definitely do not suggest getting the crazy flavor first. Try the hot and move up to crazy if you are feeling, well, crazy.  The crinkle cut fries and coleslaw were also tasty. 

This will be my new go to spot for chicken near campus!",2020-01-01,9,26,Crazy D’s Hot Chicken,101 University Ter,Reno,Florida,3.5,37,"{'RestaurantsTakeOut': 'True', 'RestaurantsDelivery': 'True', 'BusinessParking': ""{u'valet': False, u'garage': False, u'street': False, u'lot': True, u'validated': False}"", 'RestaurantsPriceRange2': '2'}",Restaurants
kQhTIZ4ZPu6z3jfSX8CGrw,m1punnN687Tmmnv1uPrscA,BXUqeFDqvTK2uL6sQd5YnQ,5.0,"This location is a hidden gem!
I got the combo #2 mild and it was the best chicken sandwich I've had. I should've gotten the #4 though because they are not kidding when they say ""giant slider""  The atmosphere is so lovely and the art of the chickens is adorable! The staff is super friendly, I'll definitely come back again and dine-in.",2020-01-01,10,30,Crazy D’s Hot Chicken,101 University Ter,Reno,Florida,3.5,37,"{'RestaurantsTakeOut': 'True', 'RestaurantsDelivery': 'True', 'BusinessParking': ""{u'valet': False, u'garage': False, u'street': False, u'lot': True, u'validated': False}"", 'RestaurantsPriceRange2': '2'}",Restaurants
r6e_I3NirhVindMqc-fQkg,yaT5qmuTO3LY_fRE82CSRg,BXUqeFDqvTK2uL6sQd5YnQ,5.0,"Saw this place on Yelp and couldn't stop thinking about it all morning. I just had to try it.

I called in a pickup. Phone customer service wasn't top notch but it was lunchtime so no judgement!

I order the combo #4 (giant slider) mild no slaw and a sweet tea. Let me tell you, this was the best chicken sandwich I've ever had. It was HUGE and HOT (even for mild) but not so hot I didn't enjoy it. I also put more crazy sauce on my sandwich which hit the spot.

Sweet tea had a hint of peach but tasted AMAZING. Overall this food is the bomb and totally worth the price. 

Only thing I'd do differently is order another side of crazy sauce because I can't get enough!",2020-01-01,12,7,Crazy D’s Hot Chicken,101 University Ter,Reno,Florida,3.5,37,"{'RestaurantsTakeOut': 'True', 'RestaurantsDelivery': 'True', 'BusinessParking': ""{u'valet': False, u'garage': False, u'street': False, u'lot': True, u'validated': False}"", 'RestaurantsPriceRange2': '2'}",Restaurants
sAQyM_EAyO_2XjreArugrg,FGOEDZPz4p0QFxADapYGRA,BXUqeFDqvTK2uL6sQd5YnQ,1.0,Went in to order and that was easy but it took a very long time to get just one #1 combo. About 30 minutes with no one else there. There were two young guys in there and one I'm assuming a manager or supervisor and another group of guys came up to order. Words were exchanged and soon turned hostile as the manager started yelling at the guys about how much he makes in tips and a lot of other unprofessional words loud enough for me to hear. He was also really rude to his employee? Belittling him very loudly it was honestly very uncomfortable. And they use frozen ore ida French fries. Probably won't ever go back,2020-01-01,10,8,Crazy D’s Hot Chicken,101 University Ter,Reno,Florida,3.5,37,"{'RestaurantsTakeOut': 'True', 'RestaurantsDelivery': 'True', 'BusinessParking': ""{u'valet': False, u'garage': False, u'street': False, u'lot': True, u'validated': False}"", 'RestaurantsPriceRange2': '2'}",Restaurants
rvjNIzORePUQAhyiV74dag,CCMdchq0ailB7ln68eNdlw,BXUqeFDqvTK2uL6sQd5YnQ,1.0,Showed up here tonight at 6 pm. They said they were closed even though there were people entering to pick up their grub hub orders.  Make a grub hub order they tell me they are closed and they are going to call the police on me. Call grub hub explain what happened. Grub hub said yes they were hostile to them as well. Will obviously not return even though they are walking distance from our apartment.,2020-01-01,9,28,Crazy D’s Hot Chicken,101 University Ter,Reno,Florida,3.5,37,"{'RestaurantsTakeOut': 'True', 'RestaurantsDelivery': 'True', 'BusinessParking': ""{u'valet': False, u'garage': False, u'street': False, u'lot': True, u'validated': False}"", 'RestaurantsPriceRange2': '2'}",Restaurants
m2qfEZM84vywZ4LOomdOhw,XxG5C6ESWaavA6MB74_qWA,BXUqeFDqvTK2uL6sQd5YnQ,1.0,I have no idea how people are giving this place 5 stars. I go to take a bite of the chicken tender sandwich and it was absolutely terrible. It was way over cooked and it was cold. And of course that made the chicken dry and rubbery. The fries were cold too. Not sure how this place stays open. Don't waste your money here.,2020-01-01,12,16,Crazy D’s Hot Chicken,101 University Ter,Reno,Florida,3.5,37,"{'RestaurantsTakeOut': 'True', 'RestaurantsDelivery': 'True', 'BusinessParking': ""{u'valet': False, u'garage': False, u'street': False, u'lot': True, u'validated': False}"", 'RestaurantsPriceRange2': '2'}",Restaurants
V7w_fqF44mzN7pTYfQ9SMg,kkWq6qF3o7qhnND8OqW14g,BXUqeFDqvTK2uL6sQd5YnQ,5.0,"Stopped in at 12:30pm on a Thursday and made an order for their giant slider combo, both a Mild and a Crazy Hot. Man am I so happy that these guys moved so close to my home. Having a legitimate, freshly fried, mongo, crispy, spicy chicken sandwich is one of the true joys in life. 

My sandwich was pretty spicy, but I'm one of those weirdos that buys Pepper X hot sauces, so for the layman you could probably call it Crazy Hot. It got my nose running, and that's more than I can say for any other chicken place I've tried in town. But mostly, it was delicious. And HUGE! For ~$8, it's quite a deal. I couldn't even finish my fries, even though they were beautifully crispy crinkle fries, my absolute favorite. Paired with an Jarritos made for one truly beautiful lunch to brighten up this smokey, smoggy autumn day. 

Expect some regular check-ins from this nutjob.",2020-01-01,10,1,Crazy D’s Hot Chicken,101 University Ter,Reno,Florida,3.5,37,"{'RestaurantsTakeOut': 'True', 'RestaurantsDelivery': 'True', 'BusinessParking': ""{u'valet': False, u'garage': False, u'street': False, u'lot': True, u'validated': False}"", 'RestaurantsPriceRange2': '2'}",Restaurants
