review_id,Usuario,business_id,Estrellas_Negocio,Review,anio,mes,dia,Negocio,Direccion_Negocio,Ciudad,Estado,Rating_Usuario,Numero_reviews,attributes,Clasificacion Negocio
wX8sdNxTaM5DnNAKfXHt2A,uSs86fdMuGIXua7VxXaclw,BXUqeFDqvTK2uL6sQd5YnQ,2.0,So we ordered thru door dash last night and when we started eating we noticed that EACH sandwich only had TWO pieces of coleslaw! (Talk about being stingy) The sauce was not even half way full. Why are you guys being so stingy?,2021-01-01,2,14,Crazy D’s Hot Chicken,101 University Ter,Reno,Florida,3.5,37,"{'RestaurantsTakeOut': 'True', 'RestaurantsDelivery': 'True', 'BusinessParking': ""{u'valet': False, u'garage': False, u'street': False, u'lot': True, u'validated': False}"", 'RestaurantsPriceRange2': '2'}",Restaurants
O_c2dg-yBJ5sSpM22GMK4g,xKxms3jD2-6HomwWFG9a2g,BXUqeFDqvTK2uL6sQd5YnQ,1.0,"We went at this location and unfortunately we were waiting for about 20 minutes and nobody is getting our order. They, apparently are backlogged and are cancelling doordash orders. Knowing that they launched a promo for National Fried Chicken Day, there was only 2 staff and one is cooking and the other one I don't know what he's doing in the other room. The one taking orders looks like new and doesn't know what he's doing. So we left and will try to go to the other location to try our luck.",2021-01-01,7,7,Crazy D’s Hot Chicken,101 University Ter,Reno,Florida,3.5,37,"{'RestaurantsTakeOut': 'True', 'RestaurantsDelivery': 'True', 'BusinessParking': ""{u'valet': False, u'garage': False, u'street': False, u'lot': True, u'validated': False}"", 'RestaurantsPriceRange2': '2'}",Restaurants
2z7mMiC2krwaRJDf13xBOQ,4g9m61vli-09v0k0dMORJg,BXUqeFDqvTK2uL6sQd5YnQ,1.0,If you order thru door dash and it's this place please just cancel it and save yourself some money. Tonight I ordered from this location amd the chicken was hard and burnt!!!! I paid $3 for sauces that were not even filled up half way! Lazy people and the owners will make excuses. F this place,2021-01-01,3,7,Crazy D’s Hot Chicken,101 University Ter,Reno,Florida,3.5,37,"{'RestaurantsTakeOut': 'True', 'RestaurantsDelivery': 'True', 'BusinessParking': ""{u'valet': False, u'garage': False, u'street': False, u'lot': True, u'validated': False}"", 'RestaurantsPriceRange2': '2'}",Restaurants
J-BzNuNuUFDj87IN0Sf-ew,ILqHolTHi_YjcFZbFtetLQ,BXUqeFDqvTK2uL6sQd5YnQ,1.0,"The staff was too busy free styling to make our order. The order was cold and when I went back in a guy who did not work there was at the counter screwing around with the ""employees."" I was not satisfied at all with their service and will not be coming back...Save the 20 + mins, Canes is up the street",2021-01-01,9,26,Crazy D’s Hot Chicken,101 University Ter,Reno,Florida,3.5,37,"{'RestaurantsTakeOut': 'True', 'RestaurantsDelivery': 'True', 'BusinessParking': ""{u'valet': False, u'garage': False, u'street': False, u'lot': True, u'validated': False}"", 'RestaurantsPriceRange2': '2'}",Restaurants
ql3SUVHoMG_MaJpnHoEdlA,Xzs7mDopC3urhHL8pmOEgA,BXUqeFDqvTK2uL6sQd5YnQ,5.0,"This shiz bussin bro, got damn had me on the couch asleep. Ate my food before I could take a picture but here's the box. If you like spice this shiz is spicy bro. Be warned",2021-01-01,9,14,Crazy D’s Hot Chicken,101 University Ter,Reno,Florida,3.5,37,"{'RestaurantsTakeOut': 'True', 'RestaurantsDelivery': 'True', 'BusinessParking': ""{u'valet': False, u'garage': False, u'street': False, u'lot': True, u'validated': False}"", 'RestaurantsPriceRange2': '2'}",Restaurants
IjtosQSL0B1CyoJD4d_VlA,SC6KHoPqBbdvspScmqG99Q,BXUqeFDqvTK2uL6sQd5YnQ,3.0,"The sandwiches are pretty good but the fries seem to be hit or miss. Of the few times I have gone, the wait was over a 30 minutes just about every time which feels a little bit long for fast food. Much easier to call ahead and pick up. Not bad though.",2022-01-01,1,12,Crazy D’s Hot Chicken,101 University Ter,Reno,Florida,3.5,37,"{'RestaurantsTakeOut': 'True', 'RestaurantsDelivery': 'True', 'BusinessParking': ""{u'valet': False, u'garage': False, u'street': False, u'lot': True, u'validated': False}"", 'RestaurantsPriceRange2': '2'}",Restaurants
fCWQvtmSJ2SonnXOGRERoA,5pgddOwVDAI_UCjnUb9G2g,BXUqeFDqvTK2uL6sQd5YnQ,5.0,"Checked those place out after reading an online review.  Chicken was delicious and had just the right amount of spice- had medium.  Great customer service and restaurant was nice and clean.  We went around lunch time and food was prepared perfectly and timely. 
Highly recommend Crazy D's.",2021-01-01,1,4,Crazy D’s Hot Chicken,101 University Ter,Reno,Florida,3.5,37,"{'RestaurantsTakeOut': 'True', 'RestaurantsDelivery': 'True', 'BusinessParking': ""{u'valet': False, u'garage': False, u'street': False, u'lot': True, u'validated': False}"", 'RestaurantsPriceRange2': '2'}",Restaurants
Hr_XkziQlBngg5sZ_BZ5oA,SVnSstX6u2DY40CoRShUDg,BXUqeFDqvTK2uL6sQd5YnQ,2.0,"This location has never impressed me. The staff do a great job and the food is ok. However, the restaurant is ridiculously understaffed and the orders consistently take more than 30 minutes to fulfil. In my opinion, there is no excuse for that. If you want to wait an hour and a half for alright food, this is the place for you. If you are anything like me and expect the food to be prepared in a reasonable amount of time, then stay clear of the Crazy D's on university terrace. 

This Crazy D's is a huge disappointment. I have been to the restaurant numerous times and only once has my food been prepared in 20-30 minutes, which is still excessive. I would recommend Cane's or Chick-Fil-A before Crazy D's. Their quality may not be as high but at least you will get your food before the day passes. It's really a shame because the food is good, but I could not look past this.",2021-01-01,12,18,Crazy D’s Hot Chicken,101 University Ter,Reno,Florida,3.5,37,"{'RestaurantsTakeOut': 'True', 'RestaurantsDelivery': 'True', 'BusinessParking': ""{u'valet': False, u'garage': False, u'street': False, u'lot': True, u'validated': False}"", 'RestaurantsPriceRange2': '2'}",Restaurants
5fYfyk_POlMABT9SE6kZRg,iBEsxORk3f99xY-0tTG6qw,BXUqeFDqvTK2uL6sQd5YnQ,2.0,"I spotted this new location on the way to Rancho San Rafael Park. I was suuuuuuuper excited because we love the S Virginia location but it is a few miles drive. This location is less than 1-mile from our home. A little after returning from the park we placed a pickup order for combo #3. We were told it'll take about 25-minutes. The food was ready when we arrived which was about 5-minutes after their estimated time.

When we got home, my boyfriend was immediately disapppointed because the meat in the slider was a lot smaller compared to what we are used to from the other location. He also mentioned that the chicken had more ""grizzler"" than the chicken. And the tender was also small. We could normally share a combo plate because the portion were amazing, but not this time. I took a couple of bites of the small tender just to taste and it was just okay--it was dry and actually cold. I wonder if they cooked the chicken in advance, freeze them, then refry. Who knows! All we know is our order tonight was not even close to the quality from the original location. My boyfriend even said it ""has to be the worst chicken sandwich I've ever had"". We are deeply disappointed that this location didn't live up to the standard of the original location.

We will be back at Crazy D's, HOWEVER, it will only be at the original location. Sadly, this location was a let down. We were hoping to have Crazy D's more often since this location was a lot closer to home.",2021-01-01,1,3,Crazy D’s Hot Chicken,101 University Ter,Reno,Florida,3.5,37,"{'RestaurantsTakeOut': 'True', 'RestaurantsDelivery': 'True', 'BusinessParking': ""{u'valet': False, u'garage': False, u'street': False, u'lot': True, u'validated': False}"", 'RestaurantsPriceRange2': '2'}",Restaurants
fRLC8lFfYY5uz4qlzU0dEg,5pgddOwVDAI_UCjnUb9G2g,BXUqeFDqvTK2uL6sQd5YnQ,5.0,"Had the Combo #1 and the food was excellent.  I ordered medium spice and it was spicy, but not too hot.  The restaurant was clean and looked nice. The employee was busy and able to get our food out in a short amount of time.  We will be back and highly recommend Crazy D's.",2021-01-01,3,17,Crazy D’s Hot Chicken,101 University Ter,Reno,Florida,3.5,37,"{'RestaurantsTakeOut': 'True', 'RestaurantsDelivery': 'True', 'BusinessParking': ""{u'valet': False, u'garage': False, u'street': False, u'lot': True, u'validated': False}"", 'RestaurantsPriceRange2': '2'}",Restaurants
